2017-01-01 15:00:00,2017-01-01 17:30:00,Brainstorming with Lisa
2017-01-02 10:00:00,2017-01-04 12:30:00,Traveling with Jacqueline
2017-01-04 19:15:00,2017-01-04 20:15:00,Dinner with Lawrence
2017-01-05 08:00:00,2017-01-05 10:15:00,Breakfast with Jesse
2017-01-05 10:15:00,2017-01-05 11:45:00,Conference with Elizabeth
2017-01-05 16:45:00,2017-01-05 18:15:00,Date with Kenneth
2017-01-06 13:45:00,2017-01-08 15:00:00,Trip with Wayne
2017-01-08 21:30:00,2017-01-10 22:45:00,Holiday with Joe
2017-01-11 11:45:00,2017-01-11 13:15:00,Chat with Susan
2017-01-11 18:30:00,2017-01-11 19:45:00,Workshop with Bruce
2017-01-12 09:15:00,2017-01-12 11:00:00,Meeting with George
2017-01-12 11:00:00,2017-01-12 13:15:00,Conference with Margaret
2017-01-12 15:30:00,2017-01-12 16:30:00,Discussion with Joe
2017-01-13 12:00:00,2017-01-13 14:15:00,Lunch with Jennifer
2017-01-13 20:30:00,2017-01-13 23:00:00,Dinner with Hannah
2017-01-14 16:15:00,2017-01-14 18:45:00,Conference with Jason
2017-01-14 18:45:00,2017-01-14 20:00:00,Conference with Joseph
2017-01-14 20:15:00,2017-01-14 21:45:00,NightCheese with Wayne
2017-01-15 07:00:00,2017-01-15 09:15:00,Breakfast with Steven
2017-01-15 13:15:00,2017-01-15 14:15:00,Discussion with Theresa
2017-01-15 19:45:00,2017-01-15 20:45:00,Dinner with Roger
2017-01-16 14:15:00,2017-01-16 16:00:00,Session with Megan
2017-01-16 20:45:00,2017-01-18 23:15:00,Traveling with Janet
2017-01-19 10:45:00,2017-01-19 11:45:00,Conference with Laura
2017-01-19 13:45:00,2017-01-19 15:45:00,Discussion with Natalie
2017-01-19 20:15:00,2017-01-19 21:45:00,Dinner with Harold
2017-01-20 08:45:00,2017-01-20 09:45:00,Breakfast with Keith
2017-01-20 16:15:00,2017-01-20 17:45:00,Conference with Thomas
2017-01-20 19:00:00,2017-01-20 21:45:00,Dinner with Betty
2017-01-21 15:45:00,2017-01-21 16:45:00,Discussion with Hannah
2017-01-22 14:00:00,2017-01-22 16:15:00,Golf with Sarah
2017-01-22 17:30:00,2017-01-22 19:45:00,Conference with Daniel
2017-01-23 10:15:00,2017-01-23 11:45:00,Conference with Nathan
2017-01-23 18:15:00,2017-01-23 19:15:00,Squash with Janice
2017-01-23 19:15:00,2017-01-23 21:15:00,Dinner with Janice
2017-01-24 08:45:00,2017-01-24 11:15:00,Breakfast with Sean
2017-01-24 14:45:00,2017-01-24 17:15:00,Golf with Patrick
2017-01-25 14:00:00,2017-01-25 16:15:00,Session with Johnny
2017-01-25 18:15:00,2017-01-25 19:15:00,Date with Jack
2017-01-26 16:30:00,2017-01-26 19:15:00,Workshop with Christina
2017-01-26 22:00:00,2017-01-29 00:30:00,Traveling with Donald
2017-01-29 15:15:00,2017-01-29 16:30:00,Meeting with Laura
2017-01-30 09:30:00,2017-02-01 11:15:00,Trip with Juan
2017-02-01 13:00:00,2017-02-01 14:00:00,Golf with Lori
2017-02-01 18:00:00,2017-02-01 19:45:00,Conference with Noah
2017-02-02 09:30:00,2017-02-02 12:00:00,Meeting with Raymond
2017-02-02 12:15:00,2017-02-02 14:45:00,Lunch with Andrea
2017-02-02 20:00:00,2017-02-02 22:15:00,Dinner with Gregory
2017-02-03 15:30:00,2017-02-03 16:45:00,Golf with Richard
2017-02-03 18:30:00,2017-02-03 19:30:00,Workshop with Bruce
2017-02-03 20:30:00,2017-02-03 23:15:00,Dinner with Timothy
2017-02-04 12:00:00,2017-02-04 13:45:00,Lunch with Joseph
2017-02-04 14:45:00,2017-02-04 16:00:00,Golf with Brandon
2017-02-04 16:45:00,2017-02-04 18:30:00,Date with Gerald
2017-02-04 20:15:00,2017-02-04 22:00:00,Dinner with Barbara
2017-02-05 07:45:00,2017-02-05 09:45:00,Breakfast with Steven
2017-02-05 13:30:00,2017-02-05 14:45:00,Meeting with Margaret
2017-02-05 16:00:00,2017-02-05 18:45:00,Workshop with Cheryl
2017-02-06 10:15:00,2017-02-06 11:15:00,Conference with Kathryn
2017-02-06 11:15:00,2017-02-06 13:30:00,Meeting with Billy
2017-02-06 17:15:00,2017-02-06 19:00:00,Conference with Sarah
2017-02-06 19:15:00,2017-02-06 20:30:00,Dinner with Judith
2017-02-07 10:45:00,2017-02-07 12:45:00,Chat with Christopher
2017-02-07 15:30:00,2017-02-07 17:15:00,Session with Peter
2017-02-07 18:45:00,2017-02-07 21:15:00,Date with Teresa
2017-02-08 10:30:00,2017-02-08 12:00:00,Meeting with Sara
2017-02-08 16:00:00,2017-02-08 18:00:00,Date with Charles
2017-02-08 20:45:00,2017-02-08 23:00:00,Dinner with Alexander
2017-02-09 16:15:00,2017-02-12 18:00:00,Traveling with Ruth
